candidate_region,Votes,pct_cast,pct_registered,rejected_ballotpapers,pct_rejected,total_votes,total_registered,pct_poll
"BRILL Aggephrey  ,ADD","1,419",3.62%,2.10%,,,,,
"MWINDA Joram L ,IND","1,214",3.10%,1.79%,,,,,
"MUKENGAMI Robert  ,UNIP",429,1.09%,0.63%,,,,,
"KABANGA Vincent S ,IND",358,0.91%,0.53%,,,,,
"KWALOMBOTA Jonathan K ,NMP",339,0.86%,0.50%,,,,,
"SOKO Zondhwayo  ,IND",98,0.25%,0.14%,,,,,
,"38,559",,,662,1.69%,"39,221","67,730",57.91%
00000124 CHIKANKATA,,,,,,,,
"HABEENZU Munji  ,UPND","10,027",62.95%,34.83%,,,,,
"MWENDA Trymore  ,MMD","4,074",25.58%,14.15%,,,,,
"HALUMAMBA Chitambula  ,NMP",760,4.77%,2.64%,,,,,
"MWEENE Webster  ,IND",703,4.41%,2.44%,,,,,
"NAKAANGA Joseph  ,IND",182,1.14%,0.63%,,,,,
"SENKA Felix  ,IND",134,0.84%,0.47%,,,,,
,"15,880",,,49,0.31%,"15,929","28,791",55.33%
00000126 MAZABUKA CENTRAL,,,,,,,,
"NKOMBO Gary  ,UPND","14,406",64.69%,33.85%,,,,,
"MWIINGA Maxwell HH ,MMD","4,837",21.72%,11.36%,,,,,
"MWIINDE Lucia BC ,PF","1,868",8.39%,4.39%,,,,,
"MWIINGA Shadreck  ,IND",849,3.81%,1.99%,,,,,
"CHANDA Benson S ,UNIP",273,1.23%,0.64%,,,,,
,"22,233",,,36,0.16%,"22,269","42,564",52.32%
00000127 BWEENGWA,,,,,,,,
"HAMUDUDU Highvie  ,UPND","10,879",76.82%,49.64%,,,,,
"KOPAKOPA Duff  ,IND","1,716",12.12%,7.83%,,,,,
"BBUKU Tsibu  ,MMD","1,279",9.03%,5.84%,,,,,
"BWEMBYA Francis  ,PF",251,1.77%,1.15%,,,,,
,"14,125",,,37,0.26%,"14,162","21,918",64.61%
00000128 MONZE CENTRAL,,,,,,,,
"MWIIMBU Jacob J ,UPND","14,626",56.20%,35.03%,,,,,
"MUKONKA Victor  ,MMD","3,961",15.22%,9.49%,,,,,
"MUSUTE Maambo  ,IND","3,652",14.03%,8.75%,,,,,
"COUVARAS Michael  ,IND","1,622",6.23%,3.89%,,,,,
"NSANZYA Gevar  ,PF",777,2.99%,1.86%,,,,,
"MUZUMBWE Osman  ,IND",709,2.72%,1.70%,,,,,
"BULANDA Shadreck H ,IND",216,0.83%,0.52%,,,,,
"MWANABALEYA Collins  ,UNIP",214,0.82%,0.51%,,,,,
"HAAMAUNDU Lawrence  ,IND",190,0.73%,0.46%,,,,,
,"25,967",,,58,0.22%,"26,025","41,749",62.34%
00000129 MOOMBA,,,,,,,,
"MOOYA Vitalis  ,UPND","5,350",55.92%,36.50%,,,,,
"MWIINGA Alice  ,IND","1,350",14.11%,9.21%,,,,,
"NANJA Isabel  ,MMD","1,124",11.75%,7.67%,,,,,
"HAAMBOTE Fedelis  ,IND",901,9.42%,6.15%,,,,,
"HAMALYANG'OMBE Roy  ,IND",484,5.06%,3.30%,,,,,
"SANDALA Killian  ,PF",120,1.25%,0.82%,,,,,
,"9,329",,,238,2.49%,"9,567","14,658",65.27%
00000130 ITEZHITEZHI,,,,,,,,
"MONDE Greyford  ,UPND","6,345",53.82%,24.41%,,,,,
"DIANGAMO David  ,MMD","3,106",26.35%,11.95%,,,,,
"KAINGU Namakau  ,IND","1,691",14.34%,6.51%,,,,,
"CHITEMBO George  ,PF",398,3.38%,1.53%,,,,,
,"11,540",,,249,2.11%,"11,789","25,995",45.35%
00000131 NAMWALA,,,,,,,,
"LUBEZHI Moono  ,UPND","13,507",66.30%,36.77%,,,,,
"CHIZHYUKA Robbie M ,MMD","5,107",25.07%,13.90%,,,,,
"NKUMBULA Liebenthal O ,IND","1,033",5.07%,2.81%,,,,,
"MWETWA Ellie  ,ADD",518,2.54%,1.41%,,,,,
"MWIINGA Aaron  ,PF",203,1.00%,0.55%,,,,,
,"20,368",,,6,0.03%,"20,374","36,732",55.47%
00000132 SIAVONGA,,,,,,,,
"HAMUDULU Kennedy  ,UPND","14,844",63.36%,39.16%,,,,,
"SIASIMUNA Noah  ,MMD","5,150",21.98%,13.59%,,,,,
"KANYAMA Lovemore  ,PF","1,499",6.40%,3.95%,,,,,
"CHAATILA Christopher  ,IND",522,2.23%,1.38%,,,,,
"SYANTUMBU Little  ,UNIP",487,2.08%,1.28%,,,,,
"MAKUKISI Patrick  ,NMP",163,0.70%,0.43%,,,,,
,"22,665",,,763,3.26%,"23,428","37,908",61.80%
00000133 SINAZONGWE,,,,,,,,
"SIAMUNENE Richwell  ,UPND","18,849",78.27%,44.83%,,,,,
"BEYANI Muti  ,MMD","4,742",19.69%,11.28%,,,,,
"PETAMA Mike  ,PF",484,2.01%,1.15%,,,,,
,"24,075",,,8,0.03%,"24,083","42,048",57.28%
00000134 KALABO CENTRAL,,,,,,,,
"MIYUTU Chinga  ,UPND","5,958",42.44%,21.18%,,,,,
"MWAPELA Richard S ,MMD","2,970",21.16%,10.56%,,,,,
"KALALUKA Mubukwanu  ,ADD","1,724",12.28%,6.13%,,,,,
"MUYENGA Atanga  ,PF","1,583",11.28%,5.63%,,,,,
"KAKOMA Queen M ,IND","1,317",9.38%,4.68%,,,,,
"MULOPE Kenneth S ,FDD",107,0.76%,0.38%,,,,,
"LIEMISA Liemisa L ,IND",83,0.59%,0.30%,,,,,
,"13,742",,,296,2.11%,"14,038","28,130",49.90%
00000135 LIUWA,,,,,,,,
"MUSOKOTWANE Situmbeko  ,MMD","3,829",48.44%,28.00%,,,,,
"NGENDA Mundia  ,ADD","1,572",19.89%,11.49%,,,,,
"MUNDIA Sikufele  ,UPND","1,475",18.66%,10.78%,,,,,
"SIMUYAWA Kaneta T ,PF",933,11.80%,6.82%,,,,,
"SIYOTO Siyambango  ,FDD",86,1.09%,0.63%,,,,,
,"7,895",,,10,0.13%,"7,905","13,677",57.80%
00000136 SIKONGO,,,,,,,,
"NDALAMEI Mundia  ,MMD","3,925",45.37%,20.04%,,,,,
"KUFUKA Kufuka  ,PF","2,564",29.64%,13.09%,,,,,
"KAMBOYI Thomas  ,UPND","1,919",22.18%,9.80%,,,,,
"SIANGA Mbambo M ,ADD",224,2.59%,1.14%,,,,,
,"8,632",,,19,0.22%,"8,651","19,581",44.18%
00000137 KAOMA CENTRAL,,,,,,,,
"ANTONIO Carlos J ,UPND","7,485",45.92%,22.04%,,,,,
"LIATO Austin C ,MMD","4,987",30.59%,14.68%,,,,,
"KALEKA Maseka E ,PF","3,175",19.48%,9.35%,,,,,
"MUSHUMBA Namushi E ,ADD",585,3.59%,1.72%,,,,,
"NYAMBE Godfrey S ,FDD",69,0.42%,0.20%,,,,,
,"16,301",,,0,0.00%,"16,301","33,968",47.99%
00000138 LUAMPA,,,,,,,,
"LIMATA Josephine  ,MMD","2,891",26.65%,12.72%,,,,,
"CHIPISA Munye  ,ADD","2,295",21.15%,10.10%,,,,,
"LIATTO Kashweka C ,UPND","1,728",15.93%,7.60%,,,,,
"MUTTI Bindundu  ,IND","1,598",14.73%,7.03%,,,,,
"MAKAI Tanda A ,NAREP",786,7.24%,3.46%,,,,,
"MUSANGU Muzaza  ,PF",622,5.73%,2.74%,,,,,
"LIFASI Arnot  ,NGP",340,3.13%,1.50%,,,,,
"MWILA Kaliki H ,IND",142,1.31%,0.62%,,,,,
"NYUNDU Simon C ,IND",116,1.07%,0.51%,,,,,
,"10,518",,,332,3.06%,"10,850","22,724",47.75%
00000139 MANGANGO,,,,,,,,
"TAUNDI Robert C ,MMD","3,136",41.22%,18.28%,,,,,
"MULUBISHA Webby  ,UPND","2,389",31.40%,13.92%,,,,,
"SIMBULA Timba R ,PF",770,10.12%,4.49%,,,,,
"MUBOTANA Likando B ,IND",647,8.50%,3.77%,,,,,
"CHIFWANA Kayombo V ,ADD",335,4.40%,1.95%,,,,,
"CHINGUMBE Janet S ,UNIP",242,3.18%,1.41%,,,,,
"KAWEWE Webby K ,ZED",65,0.85%,0.38%,,,,,
,"7,584",,,24,0.32%,"7,608","17,157",44.34%
00000140 LUKULU EAST,,,,,,,,
"KALILA Christopher K ,MMD","6,218",48.54%,24.72%,,,,,
"IMENDA Batuke  ,UPND","2,160",16.86%,8.59%,,,,,
"MBUNJI Marks K ,PF","2,142",16.72%,8.52%,,,,,
"AKAPELWA Simomo S ,IND","1,043",8.14%,4.15%,,,,,
"PANGANI Brian M ,ADD",928,7.24%,3.69%,,,,,
,"12,491",,,319,2.49%,"12,810","25,155",50.92%
00000141 LUKULU WEST,,,,,,,,
"MUTELO Misheck  ,MMD","3,426",61.33%,28.82%,,,,,
"IMBWAE Eileen M ,PF","1,716",30.72%,14.43%,,,,,
"KAKULUNDA Michael  ,ADD",257,4.60%,2.16%,,,,,
,"5,399",,,187,3.35%,"5,586","11,889",46.98%
00000142 LUENA,,,,,,,,
"IMENDA Mulumemui G ,ADD","4,424",36.91%,21.12%,,,,,
"MAOPU Mwangala H ,MMD","3,564",29.73%,17.02%,,,,,
"NAWA Patricia N ,UPND","2,244",18.72%,10.71%,,,,,
"LITAMBO Ndombo  ,PF","1,595",13.31%,7.62%,,,,,
"MUKELABAI Imasiku  ,ULP",131,1.09%,0.63%,,,,,
,"11,958",,,28,0.23%,"11,986","20,944",57.23%
00000143 MONGU CENTRAL,,,,,,,,
"MUBUKWANU Nathaniel M ,PF","9,340",43.43%,21.32%,,,,,
"MULYATA Joseph  ,MMD","4,949",23.01%,11.30%,,,,,
"SIMENDA Zaza F ,UPND","3,433",15.96%,7.84%,,,,,
"MULONDA Nawa  ,ADD","3,110",14.46%,7.10%,,,,,
"LIKUKELA Munalula A ,NAREP",219,1.02%,0.50%,,,,,
"LUTANGU Sinonge J ,UNIP",191,0.89%,0.44%,,,,,
,"21,242",,,265,1.23%,"21,507","43,814",49.09%
00000144 NALIKWANDA,,,,,,,,
LUNGWANGWA Lungwangwa G,"4,814",53.21%,24.47%,,,,,
"MUNEMBO Maurice M ,PF","1,667",18.43%,8.47%,,,,,
"SIBOTE Muchuu W ,UPND","1,565",17.30%,7.95%,,,,,
"LITABA Munkanda C ,ADD",680,7.52%,3.46%,,,,,
,"8,726",,,321,3.55%,"9,047","19,674",45.98%
00000145 NALOLO,,,,,,,,
"WINA Inonge M ,PF","3,971",37.78%,16.10%,,,,,
"AKAYOMBOKWA Catherine N ,MMD","2,264",21.54%,9.18%,,,,,
"MUTANGA Moola B ,IND","1,777",16.91%,7.21%,,,,,
"MULOZI Samuel L ,ADD","1,195",11.37%,4.85%,,,,,
"SAKANGA Namukolo BK ,UPND","1,096",10.43%,4.44%,,,,,
,"10,303",,,208,1.98%,"10,511","24,660",42.62%
00000146 SENANGA,,,,,,,,
"MUFALALI Likando M ,UPND","4,261",36.32%,14.83%,,,,,
"MUTUTWA Munyindei C ,MMD","2,826",24.09%,9.83%,,,,,
"MAINA Akabondo W ,PF","2,317",19.75%,8.06%,,,,,
"ANAMELA Njekwa E ,UNIP",838,7.14%,2.92%,,,,,
"MUKELA Manyando A ,ADD",609,5.19%,2.12%,,,,,
"LUBINDA Wakunuma  ,IND",441,3.76%,1.53%,,,,,
"MATUNDWELO Cosmas P ,IND",66,0.56%,0.23%,,,,,
"NYAMBE Richard S ,IND",57,0.49%,0.20%,,,,,
,"11,415",,,316,2.69%,"11,731","28,739",40.82%
00000147 SINJEMBELA,,,,,,,,
"NJEULU Poniso  ,UPND","6,673",40.76%,16.42%,,,,,
"MUBIKA Mubika  ,MMD","5,172",31.59%,12.73%,,,,,
"MUTOMENA Mubiana  ,PF","2,912",17.79%,7.17%,,,,,
"KALALUKA Kaundula A ,ADD","1,470",8.98%,3.62%,,,,,
,"16,227",,,145,0.89%,"16,372","40,642",40.28%
00000148 MULOBEZI,,,,,,,,
"SILILO Hastings  ,UPND","3,384",43.11%,24.76%,,,,,
"MABENGA Michael M ,MMD","1,777",22.64%,13.00%,,,,,
"MUBUKWANU Vivian M ,ADD","1,252",15.95%,9.16%,,,,,
"MWIYA Wanyambe  ,IND",507,6.46%,3.71%,,,,,
"MULASIKWANDA Patricia M ,IND",477,6.08%,3.49%,,,,,
"POTA Albetina B ,PF",244,3.11%,1.79%,,,,,
,"7,641",,,208,2.65%,"7,849","13,665",57.44%
00000149 MWANDI,,,,,,,,
"KAINGU Michael L ,MMD","3,789",55.06%,31.41%,,,,,
"LUBASI Bernadette M ,UPND","1,773",25.76%,14.70%,,,,,
"MWANAMWALYE Collins M ,PF",849,12.34%,7.04%,,,,,
"MUSHAUKWA Mike M ,ADD",461,6.70%,3.82%,,,,,
,"6,872",,,10,0.15%,"6,882","12,062",57.06%
00000150 SESHEKE,,,,,,,,
"SIANGA Siyauya  ,UPND","4,741",47.83%,26.08%,,,,,
"KUFAKWANDI Frank S ,MMD","3,564",35.95%,19.61%,,,,,
"CHIPMAN Evans  ,PF","1,227",12.38%,6.75%,,,,,
"LIBELEKI Mwangala R ,ADD",195,1.97%,1.07%,,,,,
,"9,727",,,186,1.88%,"9,913","18,179",54.53%
