"KABUNGO MOURRICE  - M ,UPND",92,8.88% 5.53%,,,,,,
,,,26,,2.51%,"1,036","1,663",62%
,,"01060088 ,ISOKA CONSTITUENCY",,,,,,
WARD: 000106003003 LUANGWA,,,,,,,,
"SICHINGA BRIAN  - M ,PF",734,54.41% 33.00%,,,,,,
"SIWALE EMMANUEL  - M ,RAINBOW",318,23.57% 14.30%,,,,,,
"MUDOLO MOSES  - M ,UPND",201,14.90% 9.04%,,,,,,
"SIWALE JUSTINE  - M ,FDD",42,3.11% 1.89%,,,,,,
,,,54,,4.00%,"1,349","2,224",61%
WARD: 000106003004 NKOMBWA,,,,,,,,
"SILWAWA JOSEPH  - M ,PF",785,58.06% 33.12%,,,,,,
"NGULUBE GEOFREY  - M ,UPND",362,26.78% 15.27%,,,,,,
"SINYANGWE HONEST  - M ,FDD",169,12.50% 7.13%,,,,,,
,,,36,,2.66%,"1,352","2,370",57%
WARD: 000106003005 MILONGO,,,,,,,,
"SINYINZA SILVESTER  - M ,PF",284,43.29% 25.56%,,,,,,
"SILWEYA SWEEDEN  - M ,UPND",224,34.15% 20.16%,,,,,,
"CHIPULU GOLDEN M - M ,FDD",123,18.75% 11.07%,,,,,,
"SIWALE TIMOTHY  - M ,RAINBOW",16,2.44% 1.44%,,,,,,
,,,9,,1.37%,656,"1,111",59%
WARD: 000106003006 ITUKUTA,,,,,,,,
"SIAME AARON C - M ,PF","1,004",79.68% 50.55%,,,,,,
"NG'AMBI JOSEPH M - M ,UPND",202,16.03% 10.17%,,,,,,
"SIVILE TEMWANANJI  - M ,FDD",48,3.81% 2.42%,,,,,,
,,,6,,0.48%,"1,260","1,986",63%
WARD: 000106003007 KASOKA,,,,,,,,
"KATONTOKA BERNARD  - M ,PF","3,582",73.67% 40.67%,,,,,,
"SILWIZYA BORNFACE  - M ,UPND",856,17.61% 9.72%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"SICHIMATA EMMANUEL  - M ,FDD",230,4.73% 2.61%,,,,,,
"SILUNGWE GEOFREY  - M ,UNIP",71,1.46% 0.81%,,,,,,
,,,123,,2.53%,"4,862","8,807",55%
WARD: 000106003008 CHINYONGA,,,,,,,,
"MALUTI WILSON  - M ,PF",761,53.18% 31.29%,,,,,,
"SINYANGWE PATSON  - M ,UPND",376,26.28% 15.46%,,,,,,
"SIMWANZA NJAVWA  - M ,UNIP",138,9.64% 5.67%,,,,,,
"SIKAONGA LLOYD  - M ,FDD",58,4.05% 2.38%,,,,,,
"MUTAMBO SHUBERT  - M ,RAINBOW",41,2.87% 1.69%,,,,,,
,,,57,,3.98%,"1,431","2,432",59%
WARD: 000106003009 KAPILILONGA,,,,,,,,
"SICHONE RONALD  - M ,PF","1,266",64.49% 36.89%,,,,,,
"SIMWANZA SAMUEL  - M ,UPND",491,25.01% 14.31%,,,,,,
"SIAME SYDNEY  - M ,RAINBOW",80,4.08% 2.33%,,,,,,
"SIKANA JOB  - M ,FDD",78,3.97% 2.27%,,,,,,
,,,48,,2.45%,"1,963","3,432",57%
WARD: 000106003010 SANSAMWENJE,,,,,,,,
"SICHEMBE CACIOUS  - M ,PF",827,66.59% 31.00%,,,,,,
"SIAME BRIGHT  - M ,UPND",317,25.52% 11.88%,,,,,,
"MUGALA JOSEPH  - M ,RAINBOW",42,3.38% 1.57%,,,,,,
"SIKOMBE SOLOMON  - M ,FDD",16,1.29% 0.60%,,,,,,
,,,40,,3.22%,"1,242","2,668",47%
WARD: 000106003011 KALUNGU,,,,,,,,
"SILUNGWE LLOYD  - M ,PF",645,54.89% 33.77%,,,,,,
"SIAME EMMANUEL  - M ,UPND",436,37.11% 22.83%,,,,,,
"SICHIZYA CHAINA  - M ,FDD",40,3.40% 2.09%,,,,,,
"SINYINZA SIMON  - M ,RAINBOW",15,1.28% 0.79%,,,,,,
,,,39,,3.32%,"1,175","1,910",62%
WARD: 000106003012 KANTENSHYA,,,,,,,,
"SINKAMBA ESANI  - M ,PF","1,361",83.39% 49.69%,,,,,,
"NG'AMBI KELVIN  - M ,UPND",179,10.97% 6.54%,,,,,,
"SIMUKONDA BRIAN  - M ,RAINBOW",38,2.33% 1.39%,,,,,,
"NAKAWALA MAJORIE  - F ,FDD",17,1.04% 0.62%,,,,,,
,,,37,,2.27%,"1,632","2,739",60%
,,"01060089 ,MAFINGA CONSTITUENCY",,,,,,
WARD: 000106004001 MUSIPIZI,,,,,,,,
"KAONGA ESTONE  - M ,UPND",618,62.49% 31.29%,,,,,,
"SIMWANZA BOSTON  - M ,PF",349,35.29% 17.67%,,,,,,
,,,22,,2.22%,989,"1,975",50%
WARD: 000106004002 NTONGA,,,,,,,,
"NAKAMBA ALICE  - F ,PF","1,963",67.71% 36.62%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MUGALA BORNWELL  - M ,UPND",844,29.11% 15.74%,,,,,,
,,,92,3.17%,,"2,899","5,361",54%
WARD: 000106004003 MULULU,,,,,,,,
"MUGALA PESTON  - M ,PF","1,055",62.39% 33.32%,,,,,,
"KAONGA KENNY  - M ,UPND",430,25.43% 13.58%,,,,,,
"NG'AMBI BRUNO  - M ,FDD",147,8.69% 4.64%,,,,,,
,,,59,3.49%,,"1,691","3,166",53%
WARD: 000106004004 BEMBA,,,,,,,,
"MUNKONDYA GEOFREY  - M ,UPND",915,37.92% 20.39%,,,,,,
"MUWOWO KELSON  - M ,PF",733,30.38% 16.34%,,,,,,
"VWALIKA JOHN  - M ,IND",595,24.66% 13.26%,,,,,,
,,,170,7.05%,,"2,413","4,487",54%
WARD: 000106004006 KALANGA,,,,,,,,
"KAFUNDA SAMSON  - M ,PF","2,588",76.21% 43.47%,,,,,,
"CHILEMBO GERSHOM  - M ,UPND",370,10.90% 6.22%,,,,,,
"SICHONE KENNEDY  - M ,MMD",270,7.95% 4.54%,,,,,,
"MUNYENYEMBE AUSTINE  - M ,RAINBOW",90,2.65% 1.51%,,,,,,
,,,78,2.30%,,"3,396","5,953",57%
WARD: 000106004007 LUHOKA,,,,,,,,
"MFUNE MAUREEN  - F ,PF","1,988",81.38% 47.59%,,,,,,
"KAONGA MAVUTO  - M ,UPND",398,16.29% 9.53%,,,,,,
,,,57,2.33%,,"2,443","4,177",58%
WARD: 000106004008 KAKOMA,,,,,,,,
"SICHINGA GEORGE  - M ,PF",950,63.89% 37.30%,,,,,,
"SICHINGA MENADI W - M ,FDD",341,22.93% 13.39%,,,,,,
"SIKANYIKA BINESS  - M ,UPND",140,9.41% 5.50%,,,,,,
,,,56,3.77%,,"1,487","2,547",58%
WARD: 000106004009 THENDERE,,,,,,,,
"MUSUKWA AUSTIN  - M ,PF","1,392",74.36% 40.25%,,,,,,
"CHILONGO MUCHUZI  - M ,UPND",400,21.37% 11.57%,,,,,,
"KAONGA FWENGE  - M ,RAINBOW",23,1.23% 0.67%,,,,,,
,,,57,3.04%,,"1,872","3,458",54%
WARD: 000106004010 MUKUTU,,,,,,,,
"SINGOGO SHADRICK  - M ,PF",830,65.98% 33.20%,,,,,,
"SIMUKOKO JUSTINE  - M ,UPND",398,31.64% 15.92%,,,,,,
,,,30,2.38%,,"1,258","2,500",50%
WARD: 000106004011 MAFINGA,,,,,,,,
"CHILONGO HESTONE  - M ,UPND",714,57.21% 29.60%,,,,,,
"KATUMBI ELIJAH  - M ,FDD",423,33.89% 17.54%,,,,,,
,,,111,8.89%,,"1,248","2,412",52%
,,"01060090 ,KANCHIBIYA CONSTITUENCY",,,,,,
WARD: 000106005001 CHAMBESHI,,,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"CHISANGA CHANDA  - M ,PF","1,179",68.63%,34.15%,,,,,
"SIKANA ISAAC  - M ,UPND",253,14.73%,7.33%,,,,,
"BWALYA FLOYD  - M ,FDD",208,12.11%,6.03%,,,,,
"CHILEKWA OSWARD  - M ,UDF",30,1.75%,0.87%,,,,,
,,,,48,2.79%,"1,718","3,452",50%
WARD: 000106005002 MANSHA,,,,,,,,
"PONDE STANLEY  - M ,PF",585,47.95%,28.96%,,,,,
"MUTALE NGOSA  - M ,IND",333,27.30%,16.49%,,,,,
"CHANDA GIFT  - M ,FDD",176,14.43%,8.71%,,,,,
"NAMUKONDA RUTH  - F ,UPND",95,7.79%,4.70%,,,,,
,,,,31,2.54%,"1,220","2,020",60%
WARD: 000106005003 MUMBUBU,,,,,,,,
"CHILESHE FRANCIS  - M ,PF",933,68.91%,38.40%,,,,,
"CHISENGA KNOWLEDGE  - M ,UPND",388,28.66%,15.97%,,,,,
,,,,33,2.44%,"1,354","2,430",56%
WARD: 000106005004 LUBALESHI,,,,,,,,
"MWAPE PETER  - M ,PF","1,097",51.70%,24.64%,,,,,
"MUMBI BRANEL  - M ,FDD",426,20.08%,9.57%,,,,,
"LUPUPA KATONGO  - M ,IND",401,18.90%,9.01%,,,,,
"CHANDA HOWARD  - M ,UPND",148,6.97%,3.32%,,,,,
,,,,50,2.36%,"2,122","4,452",48%
WARD: 000106005005 LULINGILA,,,,,,,,
"CHABU OBED  - M ,PF","1,700",83.25%,36.88%,,,,,
"MUTANDE LASTONE  - M ,UPND",288,14.10%,6.25%,,,,,
,,,,54,2.64%,"2,042","4,609",44%
WARD: 000106005006 MUNIKASHI,,,,,,,,
"MWEWA STANCILOUS  - M ,PF","1,311",71.88%,39.98%,,,,,
"MPUNDU ALBERT  - M ,UPND",225,12.34%,6.86%,,,,,
"KABEBE STANELY  - M ,FDD",216,11.84%,6.59%,,,,,
,,,,72,3.95%,"1,824","3,279",56%
WARD: 000106005007 CHINAMA,,,,,,,,
"MUNYANTE VICTOR  - M ,PF","1,214",61.81%,34.22%,,,,,
"KANJELA SILVARIO  - M ,IND",516,26.27%,14.54%,,,,,
"BWALYA MAXIMO  - M ,FDD",164,8.35%,4.62%,,,,,
,,,,70,3.56%,"1,964","3,548",55%
WARD: 000106005008 CHIBWA,,,,,,,,
"MWIMBA ROBERT  - M ,PF","1,760",84.13%,52.93%,,,,,
"KABWENDA STANELY  - M ,UPND",272,13.00%,8.18%,,,,,
"SIKAONGA SADDOCKY  - M ,FDD",30,1.43%,0.90%,,,,,
,,,,30,1.43%,"2,092","3,325",63%
WARD: 000106005009 LUKULU,,,,,,,,
"SASHI MARK  - M ,PF","1,048",48.52%,18.53%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MUPETA BWALYA  - M ,UPND","1,042",48.24% 18.43%,,,,,,
,,,70,,3.24%,"2,160","5,655",38%
WARD: 000106005010 LULIMALA,,,,,,,,
"MWANSA ELIJAH  - M ,PF","1,474",73.77% 35.27%,,,,,,
"CHALUSA REAGAN  - M ,UPND",402,20.12% 9.62%,,,,,,
"CHANGWE DAVID  - M ,FDD",65,3.25% 1.56%,,,,,,
,,,57,,2.85%,"1,998","4,179",48%
,,"01060091 ,MFUWE CONSTITUENCY",,,,,,
WARD: 000106005011 CHIKANDA,,,,,,,,
"MAPULE SYLVESTER  - M ,PF","3,188",87.75% 49.56%,,,,,,
"CHANGWE MOSES M - M ,UPND",305,8.40% 4.74%,,,,,,
"CHIKONKOLO VENTER  - M ,FDD",59,1.62% 0.92%,,,,,,
,,,81,,2.23%,"3,633","6,433",56%
WARD: 000106005012 MUPAMADZI,,,,,,,,
"SIMWINGA FRANCIS  - M ,PF",837,86.92% 52.31%,,,,,,
"CHAMBWE FACKSON  - M ,UPND",102,10.59% 6.38%,,,,,,
,,,24,,2.49%,963,"1,600",60%
WARD: 000106005013 CHIFUNGWE,,,,,,,,
"ZULU WILLIAM  - M ,PF","2,147",90.67% 54.33%,,,,,,
"MWILA PETER  - M ,UPND",172,7.26% 4.35%,,,,,,
"BANDA RICHARD  - M ,FDD",24,1.01% 0.61%,,,,,,
,,,25,,1.06%,"2,368","3,952",60%
WARD: 000106005014 MUCHINGA,,,,,,,,
"KUNDA ALEX  - M ,PF","1,026",87.47% 59.20%,,,,,,
"BANDA IRONY  - M ,UPND",122,10.40% 7.04%,,,,,,
,,,25,,2.13%,"1,173","1,733",68%
WARD: 000106005015 MUTEKWE,,,,,,,,
"KANGWA DAVIES C - M ,PF",988,97.44% 65.39%,,,,,,
"NGOSA CHRISTOPHER  - M ,FDD",8,0.79% 0.53%,,,,,,
,,,18,,1.78%,"1,014","1,511",67%
WARD: 000106005016 CHIPEMBELE,,,,,,,,
"CHILUBA LAWRENCE  - M ,PF","2,797",73.53% 52.58%,,,,,,
"CHIBESA JUSTIN  - M ,UPND",817,21.48% 15.36%,,,,,,
"MULENGA TEDDY  - M ,FDD",96,2.52% 1.80%,,,,,,
,,,94,,2.47%,"3,804","5,320",72%
,,"01060092 ,MPIKA CONSTITUENCY",,,,,,
WARD: 000106005017 LWITIKILA,,,,,,,,
"CHANDA PATRICK  - M ,PF","1,963",78.61% 42.74%,,,,,,
"CHILUMBA CHOLA  - M ,UDF",257,10.29% 5.60%,,,,,,
"MUSHOTA WESTERN  - M ,IND",147,5.89% 3.20%,,,,,,
"CHIMANGA FREDRICK  - M ,FDD",74,2.96% 1.61%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,56,,2.24%,"2,497","4,593",54%
WARD: 000106005018 MUKUNGWA,,,,,,,,
"MFULA SIMON  - M ,PF","1,805",81.05% 42.91%,,,,,,
"KASOLA GIVEN  - M ,UDF",165,7.41% 3.92%,,,,,,
"KASONKA BEST  - M ,UPND",157,7.05% 3.73%,,,,,,
"MWANSA CHRISTOPHER  - M ,FDD",43,1.93% 1.02%,,,,,,
,,,57,,2.56%,"2,227","4,206",53%
WARD: 000106005019 LUBAMBALA,,,,,,,,
"MUTALE ELIAS  - M ,PF","2,590",73.45% 39.50%,,,,,,
"KASOMA REX  - M ,UDF",483,13.70% 7.37%,,,,,,
"SIWALE SUWILANJI  - M ,UPND",272,7.71% 4.15%,,,,,,
"KAONGA DORA  - F ,FDD",103,2.92% 1.57%,,,,,,
"NKONDE NOBLE  - M ,RAINBOW",19,0.54% 0.29%,,,,,,
,,,59,,1.67%,"3,526","6,557",54%
WARD: 000106005020 MUSAKANYA,,,,,,,,
"MWANDIA KEFBAT  - M ,PF","4,637",80.03% 42.01%,,,,,,
"FUBE PYTHIAS  - M ,UPND",621,10.72% 5.63%,,,,,,
"KAPANDO CHRISTOPHER  - M ,UDF",278,4.80% 2.52%,,,,,,
"KASANDA LAVEN B - M ,FDD",144,2.49% 1.30%,,,,,,
,,,114,,1.97%,"5,794","11,038",52%
WARD: 000106005021 CHISHIBESONDE,,,,,,,,
"BWALYA KAMPAMBA J - M ,PF","1,473",75.62% 34.41%,,,,,,
"LUBANGE LASTONE  - M ,UDF",244,12.53% 5.70%,,,,,,
"KALUMBA FELIX  - M ,UPND",109,5.60% 2.55%,,,,,,
"BWALYA SHADRECK  - M ,FDD",40,2.05% 0.93%,,,,,,
,,,82,,4.21%,"1,948","4,281",46%
WARD: 000106005022 NACHIKUFU,,,,,,,,
"SILOMBA KAELA  - M ,PF","2,991",76.34% 41.28%,,,,,,
"MUMBI STEPHEN  - M ,UDF",532,13.58% 7.34%,,,,,,
"BWALYA KENNEDY  - M ,UPND",150,3.83% 2.07%,,,,,,
"MUKUKA ANTHONY  - M ,FDD",142,3.62% 1.96%,,,,,,
,,,103,,2.63%,"3,918","7,245",54%
,,"01060093 ,NAKONDE CONSTITUENCY",,,,,,
WARD: 000106006001 MUKULIKA,,,,,,,,
"SICHAMBA GILBERT  - M ,PF",463,49.10% 25.44%,,,,,,
"SIAME BORNWELL  - M ,RAINBOW",294,31.18% 16.15%,,,,,,
"SIKANA AARON  - M ,UPND",120,12.73% 6.59%,,,,,,
"SIMWAWA MESTON  - M ,FDD",25,2.65% 1.37%,,,,,,
,,,41,,4.35%,943,"1,820",52%
WARD: 000106006002 MPANDE,,,,,,,,
"SICHIWEZA KENNEDY  - M ,PF",868,63.54% 34.85%,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"SICHIMATA GOODSON  - M ,UPND",310,22.69%,12.44%,,,,,
"SICHONE CHRISTOPHER  - M ,RAINBOW",93,6.81%,3.73%,,,,,
"SICHONE JOHN  - M ,FDD",37,2.71%,1.49%,,,,,
,,,,58,4.25%,"1,366","2,491",55%
WARD: 000106006003 MUSELE,,,,,,,,
"SIMUKWAI SIMELO  - M ,RAINBOW",473,38.77%,19.41%,,,,,
"SIMUMBA WINTER  - M ,PF",388,31.80%,15.92%,,,,,
"SINYINZA KENNEDY  - M ,UPND",309,25.33%,12.68%,,,,,
"SIMBEYE GIFT  - M ,FDD",27,2.21%,1.11%,,,,,
,,,,23,1.89%,"1,220","2,437",50%
WARD: 000106006004 OLD FIFE,,,,,,,,
"SIMWANZA SIMON  - M ,PF","2,451",75.16%,33.08%,,,,,
"CHABINGA DORNALD  - M ,UPND",536,16.44%,7.23%,,,,,
"NAMFUKWE NKUMBU  - F ,FDD",107,3.28%,1.44%,,,,,
"SINKALA NELSON  - M ,RAINBOW",102,3.13%,1.38%,,,,,
,,,,65,1.99%,"3,261","7,409",44%
WARD: 000106006005 NAKONDE,,,,,,,,
"MUKWASA LEONARD  - M ,PF","3,800",54.46%,27.68%,,,,,
"NACHIZYA CHOLA  - F ,MMD","1,159",16.61%,8.44%,,,,,
"LUKUMBA SCHOLASTICA  - F ,UPND",958,13.73%,6.98%,,,,,
"CHOMBA JACKSON  - M ,ADD",637,9.13%,4.64%,,,,,
"SIMUMBA GEOFREY  - M ,FDD",166,2.38%,1.21%,,,,,
"SICHALWE SOLOMON  - M ,RAINBOW",70,1.00%,0.51%,,,,,
,,,,188,2.69%,"6,978","13,730",51%
WARD: 000106006006 ISUNDA,,,,,,,,
"SIKAONA MENGO  - M ,IND",704,53.21%,28.98%,,,,,
"SINKOLONGO YONAH  - M ,PF",522,39.46%,21.49%,,,,,
"SIWALE DAVIE  - M ,UPND",45,3.40%,1.85%,,,,,
"SIMUCHIMBA KENNETH  - M ,FDD",24,1.81%,0.99%,,,,,
,,,,28,2.12%,"1,323","2,429",54%
WARD: 000106006007 ILONDA,,,,,,,,
"SIMUKONDE ACKSON  - M ,PF","1,069",76.41%,35.70%,,,,,
"SIKANYIKA WHITESON  - M ,UPND",190,13.58%,6.35%,,,,,
"SINKALA ISAAC  - M ,FDD",123,8.79%,4.11%,,,,,
,,,,17,1.22%,"1,399","2,994",47%
WARD: 000106006008 CHIWANZA,,,,,,,,
"SINKALA ANSEN  - M ,PF",745,68.22%,30.36%,,,,,
"SINKALA PETHIAS  - M ,FDD",319,29.21%,13.00%,,,,,
,,,,28,2.56%,"1,092","2,454",44%
WARD: 000106006009 POPOMOZI,,,,,,,,
"SINKALA VICTOR  - M ,PF",803,60.70%,29.66%,,,,,
"MUTAMBO SOLEMN  - M ,UPND",393,29.71%,14.52%,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"SICHULA AISON  - M ,RAINBOW",72 5.44%,2.66%,,,,,,
"SILAVWE CHARLES  - M ,FDD",20 1.51%,0.74%,,,,,,
,,,35,2.65%,,"1,323","2,707",49%
WARD: 000106006010 MUSYANI,,,,,,,,
"NAKAZWE CHARITY  - F ,PF","1,391 68.66%",38.57%,,,,,,
"SIAME LUNDA  - M ,MMD",385 19.00%,10.68%,,,,,,
"SINKALA DAVID  - M ,UPND",117 5.77%,3.24%,,,,,,
"NAKAMBA SARAH  - F ,FDD",80 3.95%,2.22%,,,,,,
,,,53,2.62%,,"2,026","3,606",56%
WARD: 000106006011 NG'UMBA,,,,,,,,
"SIKALANGWE MORRIS  - M ,PF","1,378 79.56%",38.12%,,,,,,
"SICHALWE ANDREW  - M ,FDD",255 14.72%,7.05%,,,,,,
"SINYINZA JOY  - M ,UPND",74 4.27%,2.05%,,,,,,
,,,25,1.44%,,"1,732","3,615",48%
WARD: 000106006012 LUCHINDE,,,,,,,,
"SIKAONGA MORRIS  - M ,PF",828 61.61%,31.81%,,,,,,
"SIKOMBE ISAAC  - M ,UPND",253 18.82%,9.72%,,,,,,
"SIMPUNGWE GREEN  - M ,FDD",226 16.82%,8.68%,,,,,,
,,,37,2.75%,,"1,344","2,603",52%
WARD: 000106006013 MULALO,,,,,,,,
"SIMUTANDA WILLARD  - M ,PF",953 45.49%,21.01%,,,,,,
"SIKAMANGA JUSTINE  - M ,IND",389 18.57%,8.58%,,,,,,
"SIMUSAMBA LUKA  - M ,MMD",288 13.75%,6.35%,,,,,,
"NONDO JOHN  - M ,FDD",207 9.88%,4.56%,,,,,,
"SIKAPIZYE BEST  - M ,UPND",182 8.69%,4.01%,,,,,,
,,,76,3.63%,,"2,095","4,536",46%
,"01060094 ,SHIWAN'GANDU CONSTITUENCY",,,,,,,
WARD: 000106007001 NKULUNGWE,,,,,,,,
"MUNTHALI VICTOR  - M ,PF","1,259 48.72%",31.40%,,,,,,
"MUMBA BONIFACE  - M ,IND",821 31.77%,20.48%,,,,,,
"MAKASA QUEEN  - F ,RAINBOW",221 8.55%,5.51%,,,,,,
"NKOLE FRANCIS  - M ,UPND",154 5.96%,3.84%,,,,,,
"CHIPILIMBA KENNEDY  - M ,FDD",15 0.58%,0.37%,,,,,,
,,,114,4.41%,,"2,584","4,009",64%
WARD: 000106007002 CHIMPUNDU,,,,,,,,
"NSULUKA MAKUMBA  - M ,PF",888 57.29%,33.64%,,,,,,
"KALUBA KANGWA  - M ,IND",233 15.03%,8.83%,,,,,,
"MUBANGA RAY  - M ,UPND",219 14.13%,8.30%,,,,,,
"MBEWE EMMANUEL  - M ,FDD",151 9.74%,5.72%,,,,,,
"MBANGWETA VIVIAN  - F ,RAINBOW",14 0.90%,0.53%,,,,,,
,,,45,2.90%,,"1,550","2,640",59%
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
WARD: 000106007003 KALEBE,,,,,,,,
"SINKOMBO CHRISPIN  - M ,PF",464,69.15%,38.73%,,,,,
"CHIMFWEMBE COILLARD  - M ,UPND",107,15.95%,8.93%,,,,,
"NKALAMO FRANCIS  - M ,FDD",57,8.49%,4.76%,,,,,
"KATONGO CHARLES C - M ,RAINBOW",21,3.13%,1.75%,,,,,
,,,,22,3.28%,671,"1,198",56%
WARD: 000106007004 MWILAKABUSWE,,,,,,,,
"KAMPAMBA CAPHAS  - M ,PF",795,60.23%,37.25%,,,,,
"MWENYA CHRISTOPHER  - M ,RAINBOW",287,21.74%,13.45%,,,,,
"MUMBA MATILDAH  - F ,FDD",127,9.62%,5.95%,,,,,
"SEKWILA GEOFFREY  - M ,UPND",67,5.08%,3.14%,,,,,
,,,,44,3.33%,"1,320","2,134",62%
WARD: 000106007005 MUCHINGA,,,,,,,,
"MULENGA FREDAH  - F ,PF","1,148",64.60%,38.90%,,,,,
"MUCHESE VINCENT  - M ,RAINBOW",553,31.12%,18.74%,,,,,
"MULENGA PRINCE  - M ,FDD",40,2.25%,1.36%,,,,,
,,,,36,2.03%,"1,777","2,951",60%
WARD: 000106007006 MWAMBWA,,,,,,,,
"CHALI KABWELA  - M ,PF",819,85.76%,46.27%,,,,,
"CHIBESA SYRON  - M ,UPND",128,13.40%,7.23%,,,,,
,,,,8,0.84%,955,"1,770",54%
WARD: 000106007007 CHAMUSENGA,,,,,,,,
"MUTALE AMOS  - M ,PF",694,53.43%,32.19%,,,,,
"CHITI CACIOUS  - M ,IND",310,23.86%,14.38%,,,,,
"MUMBA STEPHEN  - M ,UPND",173,13.32%,8.02%,,,,,
"MUMBA SHEMU  - M ,RAINBOW",93,7.16%,4.31%,,,,,
,,,,29,2.23%,"1,299","2,156",60%
WARD: 000106007008 CHANDAULA,,,,,,,,
"CHANDA TIMOTHY  - M ,PF",887,68.97%,38.22%,,,,,
"KAKUNGU JAMES  - M ,UPND",217,16.87%,9.35%,,,,,
"MULABA JULIUS  - M ,RAINBOW",150,11.66%,6.46%,,,,,
,,,,32,2.49%,"1,286","2,321",55%
WARD: 000106007009 MANSHYA,,,,,,,,
"BWALI SIMON  - M ,PF",954,75.53%,41.23%,,,,,
"MUKUKA WELLINGTONE  - M ,IND",132,10.45%,5.70%,,,,,
"MBANGWETA GRACE  - F ,RAINBOW",95,7.52%,4.11%,,,,,
"MUMBA KENNEDY  - M ,UPND",54,4.28%,2.33%,,,,,
,,,,28,2.22%,"1,263","2,314",55%
WARD: 000106007010 MUKUMBI,,,,,,,,
"MUSENGA SUNDAY  - M ,PF",777,86.14%,46.36%,,,,,
"MULENGA STEPHEN  - M ,UPND",85,9.42%,5.07%,,,,,
"NGOSA CLERA  - F ,FDD",22,2.44%,1.31%,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,18,,2.00%,902,"1,676",54%
WARD: 000106007011 KULAMWELE,,,,,,,,
"MWAPE SHADRICK  - M ,PF",569,72.67% 46.00%,,,,,,
"MUTONGWA MOSES  - M ,UPND",170,21.71% 13.74%,,,,,,
"BWALYA MORGAN  - M ,RAINBOW",29,3.70% 2.34%,,,,,,
,,,15,,1.92%,783,"1,237",63%
WARD: 000106007012 MAYEMBE,,,,,,,,
"MUKUPA REFRESH  - M ,PF",498,53.72% 30.95%,,,,,,
"NSOFWA JOSEPH  - M ,FDD",290,31.28% 18.02%,,,,,,
"MULENGA JOSEPH  - M ,UPND",83,8.95% 5.16%,,,,,,
"MULENGA DELIPHA  - F ,RAINBOW",23,2.48% 1.43%,,,,,,
,,,33,,3.56%,927,"1,609",58%
WARD: 000106007013 CHIBINDA,,,,,,,,
"BOWA DELIX  - M ,PF",234,54.04% 34.41%,,,,,,
"CHEWE JAMES  - M ,UPND",144,33.26% 21.18%,,,,,,
"SINKAMBA IAN  - M ,FDD",48,11.09% 7.06%,,,,,,
,,,7,,1.62%,433,680,64%
WARD: 000106007014 ICHINGO,,,,,,,,
"CHITAMBALA CHISHIMBA  - M ,PF",762,61.95% 29.85%,,,,,,
"CHANDA SHEPHERD  - M ,RAINBOW",277,22.52% 10.85%,,,,,,
