prov,council,cons,candid,party,votes,pct_cast,pct_registered,rejected,pct_rejected,cast,registered,turnout
,,120 Kalomo Central,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","19,167",79.68,61.17,,,,,
,,,MWANAWASA Levy,MMD,"3,447",14.33,11,,,,,
,,,MIYANDA Godfrey K,HP,349,1.45,1.11,,,,,
,,,SATA Michael M.C,PF,291,1.21,0.93,,,,,
,,,NGONDO Winright K,APC,149,0.62,0.48,,,,,
,,,,,"23,403",97.29,74.69,652,2.71,"24,055","31,334",76.77
,,122 Mapatizya,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","13,053",69.63,58.77,,,,,
,,,MWANAWASA Levy,MMD,"4,419",23.57,19.9,,,,,
,,,MIYANDA Godfrey K,HP,333,1.78,1.5,,,,,
,,,NGONDO Winright K,APC,170,0.91,0.77,,,,,
,,,SATA Michael M.C,PF,154,0.82,0.69,,,,,
,,,,,"18,129",96.71,81.62,616,3.29,"18,745","22,211",84.4
SOUTHERN,KAZUNGULA,121 Katombola,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","16,158",60.69,46.78,,,,,
,,,MWANAWASA Levy,MMD,"8,953",33.63,25.92,,,,,
,,,MIYANDA Godfrey K,HP,444,1.67,1.29,,,,,
,,,SATA Michael M.C,PF,302,1.13,0.87,,,,,
,,,NGONDO Winright K,APC,120,0.45,0.35,,,,,
,,,,,"25,977",97.56,75.21,649,2.44,"26,626","34,538",77.09
,LIVINGSTONE,123 Livingstone,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","15,198",42.22,30.96,,,,,
,,,MWANAWASA Levy,MMD,"13,499",37.5,27.5,,,,,
,,,SATA Michael M.C,PF,"6,797",18.88,13.85,,,,,
,,,MIYANDA Godfrey K,HP,438,1.22,0.89,,,,,
,,,NGONDO Winright K,APC,63,0.18,0.13,,,,,
,,,,,"35,995",100,73.33,0,0,"35,995","49,089",73.33
,MAZABUKA,124 Chikankata,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","14,412",78.47,62.28,,,,,
,,,MWANAWASA Levy,MMD,"2,465",13.42,10.65,,,,,
,,,SATA Michael M.C,PF,649,3.53,2.8,,,,,
,,,MIYANDA Godfrey K,HP,382,2.08,1.65,,,,,
,,,NGONDO Winright K,APC,89,0.48,0.38,,,,,
,,,,,"17,997",97.99,77.77,370,2.01,"18,367","23,140",79.37
,,125 Magoye,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","11,815",80.6,59.95,,,,,
,,,MWANAWASA Levy,MMD,"2,236",15.25,11.35,,,,,
,,,MIYANDA Godfrey K,HP,209,1.43,1.06,,,,,
,,,SATA Michael M.C,PF,139,0.95,0.71,,,,,
,,,NGONDO Winright K,APC,0,0,0,,,,,
,,,,,"14,399",98.23,73.06,259,1.77,"14,658","19,708",74.38
,,126 Mazabuka Central,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","16,823",67.7,48.35,,,,,
,,,MWANAWASA Levy,MMD,"5,797",23.33,16.66,,,,,
,,,SATA Michael M.C,PF,"1,556",6.26,4.47,,,,,
,,,MIYANDA Godfrey K,HP,251,1.01,0.72,,,,,
,,,NGONDO Winright K,APC,60,0.24,0.17,,,,,
,,,,,"24,487",98.54,70.38,362,1.46,"24,849","34,793",71.42
,MONZE,127 Bweengwa,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","11,061",89.35,69.78,,,,,
,,,MWANAWASA Levy,MMD,972,7.85,6.13,,,,,
,,,MIYANDA Godfrey K,HP,71,0.57,0.45,,,,,
,,,SATA Michael M.C,PF,62,0.5,0.39,,,,,
,,,NGONDO Winright K,APC,24,0.19,0.15,,,,,
,,,,,"12,190",98.47,76.9,189,1.53,"12,379","15,851",78.1
,,128 Monze Central,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","19,785",83.1,63.88,,,,,
,,,MWANAWASA Levy,MMD,"2,786",11.7,9,,,,,
,,,SATA Michael M.C,PF,557,2.34,1.8,,,,,
,,,MIYANDA Godfrey K,HP,158,0.66,0.51,,,,,
,,,NGONDO Winright K,APC,53,0.22,0.17,,,,,
,,,,,"23,339",98.03,75.36,470,1.97,"23,809","30,971",76.88
,,129 Moomba,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,297",85.95,67.97,,,,,
,,,MWANAWASA Levy,MMD,862,10.15,8.03,,,,,
,,,MIYANDA Godfrey K,HP,54,0.64,0.5,,,,,
,,,SATA Michael M.C,PF,40,0.47,0.37,,,,,
,,,NGONDO Winright K,APC,37,0.44,0.34,,,,,
,,,,,"8,290",97.64,77.22,200,2.36,"8,490","10,735",79.09
SOUTHERN,ITEZHI-TEZHI,130 Itezhi-Tezhi,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,576",54.55,35.95,,,,,
,,,MWANAWASA Levy,MMD,"5,665",40.79,26.88,,,,,
,,,SATA Michael M.C,PF,202,1.45,0.96,,,,,
,,,MIYANDA Godfrey K,HP,139,1,0.66,,,,,
,,,NGONDO Winright K,APC,47,0.34,0.22,,,,,
,,,,,"13,629",98.14,64.67,259,1.86,"13,888","21,076",65.89
,NAMWALA,131 Namwala,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","14,098",73.78,52.44,,,,,
,,,MWANAWASA Levy,MMD,"4,099",21.45,15.25,,,,,
,,,MIYANDA Godfrey K,HP,241,1.26,0.9,,,,,
,,,SATA Michael M.C,PF,123,0.64,0.46,,,,,
,,,NGONDO Winright K,APC,73,0.38,0.27,,,,,
,,,,,"18,634",97.52,69.31,473,2.48,"19,107","26,884",71.07
,SIAVONGA,132 Siavonga,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","15,704",74.85,56.16,,,,,
,,,MWANAWASA Levy,MMD,"3,747",17.86,13.4,,,,,
,,,SATA Michael M.C,PF,911,4.34,3.26,,,,,
,,,MIYANDA Godfrey K,HP,427,2.04,1.53,,,,,
,,,NGONDO Winright K,APC,192,0.92,0.69,,,,,
,,,,,"20,981",100,75.03,0,0,"20,981","27,962",75.03
,SINAZONGWE,133 Sinazongwe,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","19,930",73.4,58.22,,,,,
,,,MWANAWASA Levy,MMD,"4,755",17.51,13.89,,,,,
,,,MIYANDA Godfrey K,HP,713,2.63,2.08,,,,,
,,,SATA Michael M.C,PF,303,1.12,0.89,,,,,
,,,NGONDO Winright K,APC,182,0.67,0.53,,,,,
,,,,,"25,883",95.32,75.61,"1,270",4.68,"27,153","34,230",79.33
WESTERN,KALABO,134  Kalabo Central,MWANAWASA Levy,MMD,"11,368",74.88,51.09,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,955",19.47,13.28,,,,,
,,,SATA Michael M.C,PF,519,3.42,2.33,,,,,
,,,MIYANDA Godfrey K,HP,163,1.07,0.73,,,,,
,,,NGONDO Winright K,APC,101,0.67,0.45,,,,,
,,,,,"15,106",99.51,67.89,75,0.49,"15,181","22,251",68.23
WESTERN,KALABO,135 Liuwa,MWANAWASA Levy,MMD,"5,846",78.13,56.62,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",843,11.27,8.16,,,,,
,,,SATA Michael M.C,PF,414,5.53,4.01,,,,,
,,,MIYANDA Godfrey K,HP,126,1.68,1.22,,,,,
,,,NGONDO Winright K,APC,48,0.64,0.46,,,,,
,,,,,"7,277",97.26,70.48,205,2.74,"7,482","10,325",72.46
,,136 Sikongo,MWANAWASA Levy,MMD,"6,384",67.41,41.22,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,399",25.33,15.49,,,,,
,,,SATA Michael M.C,PF,154,1.63,0.99,,,,,
,,,MIYANDA Godfrey K,HP,117,1.24,0.76,,,,,
,,,NGONDO Winright K,APC,78,0.82,0.5,,,,,
,,,,,"9,132",96.42,58.96,339,3.58,"9,471","15,488",61.15
,KAOMA,137 Kaoma Central,MWANAWASA Levy,MMD,"10,572",72.26,38.31,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,401",16.41,8.7,,,,,
,,,SATA Michael M.C,PF,766,5.24,2.78,,,,,
,,,MIYANDA Godfrey K,HP,239,1.63,0.87,,,,,
,,,NGONDO Winright K,APC,129,0.88,0.47,,,,,
,,,,,"14,107",96.42,51.12,524,3.58,"14,631","27,598",53.01
,,138 Luampa,MWANAWASA Levy,MMD,"9,899",81.63,57.2,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,476",12.17,8.53,,,,,
,,,SATA Michael M.C,PF,200,1.65,1.16,,,,,
,,,MIYANDA Godfrey K,HP,95,0.78,0.55,,,,,
,,,NGONDO Winright K,APC,52,0.43,0.3,,,,,
,,,,,"11,722",96.66,67.73,405,3.34,"12,127","17,306",70.07
,,139 Mangango,MWANAWASA Levy,MMD,"7,084",73.71,49.8,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,745",18.16,12.27,,,,,
,,,SATA Michael M.C,PF,242,2.52,1.7,,,,,
,,,MIYANDA Godfrey K,HP,114,1.19,0.8,,,,,
,,,NGONDO Winright K,APC,95,0.99,0.67,,,,,
,,,,,"9,280",96.57,65.24,330,3.43,"9,610","14,225",67.56
WESTERN,LUKULU,140 Lukulu East,MWANAWASA Levy,MMD,"10,543",69.99,50.04,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,618",10.74,7.68,,,,,
,,,SATA Michael M.C,PF,1158,7.69,5.5,,,,,
,,,MIYANDA Godfrey K,HP,1025,6.8,4.86,,,,,
,,,NGONDO Winright K,APC,300,1.99,1.42,,,,,
,,,,,"14,644",97.22,69.5,419,2.78,"15,063","21,071",71.49
,,141 Lukulu West,MWANAWASA Levy,MMD,"5,533",77.46,55.17,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",626,8.76,6.24,,,,,
,,,SATA Michael M.C,PF,472,6.61,4.71,,,,,
,,,MIYANDA Godfrey K,HP,306,4.28,3.05,,,,,
,,,NGONDO Winright K,APC,96,1.34,0.96,,,,,
,,,,,"7,033",98.46,70.13,110,1.54,"7,143","10,029",71.22
,MONGU,142 Luena,MWANAWASA Levy,MMD,"9,886",87.41,63.2,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",410,3.63,2.62,,,,,
,,,SATA Michael M.C,PF,403,3.56,2.58,,,,,
,,,NGONDO Winright K,APC,206,1.82,1.32,,,,,
,,,MIYANDA Godfrey K,HP,78,0.69,0.5,,,,,
,,,,,"10,983",97.11,70.21,327,2.89,"11,310","15,642",72.31
,,143 Mongu Central,MWANAWASA Levy,MMD,"16,950",74.93,48.44,,,,,
,,,SATA Michael M.C,PF,"3,280",14.5,9.37,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,453",6.42,4.15,,,,,
,,,MIYANDA Godfrey K,HP,255,1.13,0.73,,,,,
,,,NGONDO Winright K,APC,204,0.9,0.58,,,,,
,,,,,"22,142",97.88,63.28,479,2.12,"22,621","34,991",64.65
,,144 Nalikwanda,MWANAWASA Levy,MMD,"10,043",84.48,60.37,,,,,
,,,SATA Michael M.C,PF,"1,029",8.66,6.19,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",376,3.16,2.26,,,,,
,,,MIYANDA Godfrey K,HP,194,1.63,1.17,,,,,
,,,NGONDO Winright K,APC,167,1.4,1,,,,,
,,,,,"11,809",99.34,70.99,79,0.66,"11,888","16,635",71.46
,SENANGA,145 Nalolo,MWANAWASA Levy,MMD,"10,878",75.77,53.45,,,,,
,,,SATA Michael M.C,PF,"2,378",16.56,11.69,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",487,3.39,2.39,,,,,
,,,MIYANDA Godfrey K,HP,212,1.48,1.04,,,,,
,,,NGONDO Winright K,APC,120,0.84,0.59,,,,,
,,,,,"14,075",98.04,69.16,282,1.96,"14,357","20,350",70.55
WESTERN,SENANGA,146 Senanga Central,MWANAWASA Levy,MMD,"13,224",81.55,56.18,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,521",9.38,6.46,,,,,
,,,SATA Michael M.C,PF,844,5.21,3.59,,,,,
,,,MIYANDA Godfrey K,HP,198,1.22,0.84,,,,,
,,,NGONDO Winright K,APC,86,0.53,0.37,,,,,
,,,,,"15,873",97.89,67.44,342,2.11,"16,215","23,538",68.89
,SESHEKE,148 Mulobezi,MWANAWASA Levy,MMD,"5,067",68.21,47.13,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,879",25.29,17.48,,,,,
,,,SATA Michael M.C,PF,96,1.29,0.89,,,,,
,,,MIYANDA Godfrey K,HP,91,1.22,0.85,,,,,
,,,NGONDO Winright K,APC,62,0.83,0.58,,,,,
,,,,,"7,195",96.85,66.92,234,3.15,"7,429","10,752",69.09
,,149 Mwandi,MWANAWASA Levy,MMD,"5,476",78.67,55.63,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,135",16.31,11.53,,,,,
,,,SATA Michael M.C,PF,67,0.96,0.68,,,,,
,,,MIYANDA Godfrey K,HP,43,0.62,0.44,,,,,
,,,NGONDO Winright K,APC,22,0.32,0.22,,,,,
,,,,,"6,743",96.87,68.5,218,3.13,"6,961","9,844",70.71
,,,,,,,,,,,,
,,150 Sesheke Central,MWANAWASA Levy,MMD,"8,268",81.5,56.66,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,296",12.77,8.88,,,,,
,,,SATA Michael M.C,PF,227,2.24,1.56,,,,,
,,,MIYANDA Godfrey K,HP,71,0.7,0.49,,,,,
,,,NGONDO Winright K,APC,55,0.54,0.38,,,,,
,,,,,"9,917",97.75,67.96,228,2.25,"10,145","14,592",69.52
,SHANGOMBO,147 Sinjembela,MWANAWASA Levy,MMD,"13,611",62.28,43.27,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","3,112",14.24,9.89,,,,,
,,,SATA Michael M.C,PF,"2,639",12.07,8.39,,,,,
,,,MIYANDA Godfrey K,HP,973,4.45,3.09,,,,,
,,,NGONDO Winright K,APC,449,2.05,1.43,,,,,
,,,,,"20,784",95.1,66.07,1072,4.9,"21,856","31,458",69.48
